,color,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,cast_total_facebook_likes,actor_3_name,language,budget_x,actor_2_facebook_likes,movie_facebook_likes,director,writer,producer,composer,cinematographer,main_actor_4,worldwide,mpaa,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
14,1,1.254149071967681,-0.31565423266516174,-0.2225623989927721,117,0.3258745580257498,130,0.13872426223234913,236,0,2.55567316276207,-0.09095088673591983,3.156159675843406,435,143,71,79,6,157,1.4703957925854894,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,1,1.5671386331233443,-0.29610471481694395,-0.398606047207591,429,0.9151888018299849,272,0.24781165781425651,145,0,3.024656728955752,-0.48990258596983605,-0.5690356017641469,14,27,13,82,134,656,0.7293881879818466,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
16,1,2.5955329054919516,-0.31565423266516174,5.651566791531677,458,1.2519397982895477,67,3.467920973356482,574,0,2.5484399646595137,2.4884782031385386,3.3140069333691495,227,324,227,5,224,301,4.701515685041358,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,1,2.5955329054919516,-0.31565423266516174,5.651566791531677,458,1.2519397982895477,67,3.467920973356482,574,0,2.5484399646595137,2.4884782031385386,3.3140069333691495,227,324,227,5,224,301,4.701515685041358,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,1,0.9411595108120181,-0.2540732514432756,-0.14146002358119195,474,2.4305682858980178,178,1.802678595931307,594,0,3.2335047225818876,1.0554620420971728,1.2619925855344807,339,549,178,79,49,223,3.0153716121698366,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,1,-0.40022432271225233,-0.2697128657218498,-0.2322174436846269,374,-0.09506418754870374,359,-0.2537822932605902,482,0,2.645612270747794,-0.4039216163073541,0.693742458441803,35,171,235,45,21,293,1.3572297583104447,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,1,1.7012770164757713,-0.2022670291454983,-0.1533679120344795,35,0.3258745580257498,108,0.5347481679007269,120,0,2.7427845768360735,0.9121604259930362,1.1988536825241831,260,249,23,89,125,249,1.8576988927257438,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,1,1.8354153998281983,-0.31565423266516174,-0.22578074722339037,574,-0.8619303942362433,221,-0.7158927501125576,576,0,2.324714334014101,-0.3944637096444811,-0.03235492617661814,335,57,355,125,123,437,0.2781873859193128,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
22,1,-0.08723476155658924,-0.2841306351349105,-0.14146002358119195,194,0.41006230714064057,71,0.3176137197465488,377,0,2.1541272928202737,0.3389539615764899,-0.5690356017641469,74,83,33,9,101,57,0.5684966238496756,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
24,1,1.4330002497709173,-0.2926835491935058,3.076888207037069,483,0.8310010527150942,287,2.333501231562614,117,0,2.7439086909472574,2.201874970930265,1.7039649066065632,27,88,227,84,251,579,2.991547245241678,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,1,0.717595538557973,-0.18564993897451315,-0.2615044125832531,20,0.2416868089108591,214,0.44508050849870484,607,0,2.334660891265298,0.9121604259930362,0.8200202644623981,313,305,362,172,248,533,0.15747937237572834,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
26,1,0.4046059774023099,-0.22645955748266788,-0.14146002358119195,276,-0.6843784313529387,51,-0.4575904428627551,496,0,1.0118238457250008,-0.23425250284005641,4.166382124008166,82,478,310,136,125,344,4.890717899188657,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28,1,0.8964467163612091,-0.31565423266516174,0.8240444456042865,233,1.0835643000597663,136,1.272846763166321,373,0,2.8628136003789777,1.0554620420971728,-0.5690356017641469,366,532,23,45,21,264,2.507117108112962,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,1,3.57921438340975,-0.07128525956243878,0.5022096225424603,262,0.8310010527150942,287,0.6307074255038851,176,0,2.0798048665413065,0.05235072936821674,2.4300622912249845,380,155,227,27,128,164,3.47191455162613,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30,1,-0.31079873381063433,2.861142417670237,3.076888207037069,14,2.4305682858980178,178,3.0844802640903772,36,0,2.324714334014101,3.0616846675550846,0.1886312343594231,412,366,188,45,49,40,3.0202870885945763,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
32,1,1.5671386331233443,-0.31565423266516174,-0.3139634887423307,290,-0.8616778309888986,124,-0.7171807938387745,522,0,2.409803306596117,-0.4375974960918262,-0.5690356017641469,276,163,156,172,18,633,2.3517038009910234,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,1,2.2378305498854796,-0.31565423266516174,-0.20325230960906254,503,-0.8549428110597074,39,-0.6790348834854281,362,0,2.1879355665640463,-0.383859390052775,1.1988536825241831,276,163,156,172,6,588,2.983344092310167,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34,1,0.672882744107164,-0.31565423266516174,3.076888207037069,379,2.76731928235758,338,2.761676690243098,265,0,2.3653258442737646,1.628668506513719,1.3251314885447782,366,425,188,45,181,463,0.8307566500614434,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
35,1,0.4493187718531189,-0.2267039264557706,-0.14146002358119195,410,0.07331131068107768,155,0.3891496866949022,264,0,1.7169359584282657,0.9121604259930362,0.3780479433903156,224,162,368,178,39,82,0.5836183137219015,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,1,-0.40022432271225233,-0.19664654276413568,-0.21355102394704098,529,-0.8527539295827202,171,-0.6545620526873072,184,0,2.2413754774205494,-0.38916154984862805,-0.25334108671265937,203,292,107,136,226,194,1.161318109898128,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37,1,0.3598931829515009,-0.25260703760465925,-0.35837669432486274,525,0.41006230714064057,302,-0.0018706644985560642,608,0,2.2413754774205494,-0.4681207403220073,0.1886312343594231,268,209,146,91,65,423,-0.13613102404730862,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
39,1,0.13632921069745582,-0.22572645056335972,-0.14532204145793384,85,0.9993765509448755,69,0.4841676815750559,132,0,2.409803306596117,-0.09095088673591983,-0.5690356017641469,273,279,108,45,225,469,0.5021445721970756,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40,1,1.120010688615254,-0.31565423266516174,4.042392676222548,420,1.2519397982895477,152,3.044501368434337,650,0,1.7422146054449488,2.7750814353468116,2.3984928397198355,178,79,406,27,151,282,4.345178097412342,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,1,0.3598931829515009,-0.2191284882895862,-0.14146002358119195,71,0.49425005625553126,271,0.7281033472632085,462,0,1.8894575480530005,1.0554620420971728,3.503423642400042,258,395,156,126,18,261,1.001694615029125,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
42,1,1.5224258386725353,-0.31565423266516174,5.973401614593504,423,1.9254417912086734,158,3.653052488928502,250,0,2.0015033251455296,2.631779819242675,2.0196594216580506,56,526,374,102,172,267,1.699755595745533,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
43,1,0.762308333008782,3.10551139077296,-0.1646321308416434,82,0.6626255544853127,32,0.18410303350983648,486,0,1.8894575480530005,-0.38027684965017156,2.335353936709538,170,494,158,136,45,59,0.7357752680118927,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44,1,-0.04252196710578023,-0.31565423266516174,-0.4182379714143624,197,-0.8545218723141329,105,-0.7891130819336561,521,0,1.9846312072971537,-0.4410367348783255,0.1254923313491256,56,119,91,102,172,66,-0.25142057901546505,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46,1,0.0469036217958378,-0.27191218647977433,-0.3873418284004271,449,0.3258745580257498,140,-0.0765772006191357,526,0,2.324714334014101,-0.4396037187172841,0.15706178285427436,287,46,178,82,126,20,0.33544494359803884,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,1,0.717595538557973,-0.31565423266516174,-0.16752864424919986,119,0.41006230714064057,59,0.07288541176533961,380,0,1.8894575480530005,-0.38213977065952537,2.0512288731631996,157,566,149,158,97,99,0.5294523897986942,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48,1,1.7459898109265803,-0.31565423266516174,-0.2763088144440971,318,-0.8616778309888986,124,-0.7481433834112959,366,0,2.142162552904416,-0.4020586952980003,0.8831591674726956,276,163,156,172,6,339,3.313326977829741,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
49,1,0.31518038850069185,3.10551139077296,-0.14146002358119195,445,-0.010876438433813031,127,-0.13552997116521645,294,0,2.1798925987903197,-0.377554118944193,-0.4111883442384031,402,139,126,106,110,354,2.2361596518365734,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1,0.31518038850069185,-0.1492389619822074,-0.4295021902215263,363,-0.8529223050809499,320,-0.8108612048493953,401,0,1.5814356404625214,-0.5038028427319373,0.3780479433903156,231,527,158,136,232,662,0.2062467993120266,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
53,1,-1.0709162394743876,-0.21301926396201812,-0.40761742225332215,137,-0.9143793619348202,352,-0.8208683137992342,488,0,1.2916231159213678,-0.48245090193242096,-0.5690356017641469,51,261,346,116,107,241,0.09519052077116773,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
54,1,1.9248409887298163,-0.12602390953744874,-0.363526051493852,320,-0.8527539295827202,262,-0.7703869077601952,630,0,2.409803306596117,-0.4537905787115936,-0.15863273219721313,354,496,231,80,61,28,2.1723536379699686,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
55,1,-0.8473522672203425,-0.31565423266516174,2.7550533839752434,122,0.578437805370422,292,1.544822149971349,221,0,2.409803306596117,1.4853668904095825,-0.5690356017641469,347,71,160,5,208,596,0.3188940625009181,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
56,1,0.538744360754737,-0.31565423266516174,3.7205578531607215,379,0.49425005625553126,58,1.4683321686913922,187,0,1.486577839542967,1.628668506513719,0.8200202644623981,246,365,145,136,128,576,-0.3293431002258475,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
57,1,-0.22137314490901627,-0.2467421822501939,-0.43014585986764997,20,-0.010876438433813031,70,0.17241155968725239,97,0,1.4920146365790803,0.9121604259930362,0.34647849188516683,106,5,89,168,101,109,0.2517448806380742,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
58,1,-0.22137314490901627,-0.2467421822501939,-0.43014585986764997,20,-0.010876438433813031,70,0.17241155968725239,97,0,1.4920146365790803,0.9121604259930362,0.34647849188516683,106,5,89,168,101,109,0.2517448806380742,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
59,1,1.5671386331233443,-0.29610471481694395,-0.4369043911519483,298,-0.8527539295827202,166,-0.8113566062825556,583,0,2.3188522217932217,-0.4936284279885436,-0.5690356017641469,14,32,263,82,68,584,2.2454505530693236,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
60,1,1.29886186641849,-0.31565423266516174,-0.14146002358119195,368,1.9254417912086734,158,1.5847515054840726,640,0,1.456246235025704,1.3420652743054458,1.1357147795138858,56,526,374,102,172,479,0.8957143545402276,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
61,1,1.6565642220249623,5.0604631755947445,3.076888207037069,214,0.9993765509448755,69,1.9869183889236384,467,0,2.1798925987903197,1.3420652743054458,0.5990341039263568,78,314,71,91,257,444,3.10645950124683,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
62,1,-0.8473522672203425,-0.31565423266516174,-0.3789741230008196,153,-0.8527539295827202,177,-0.7460626973920225,289,0,1.8926852053685026,-0.39933596459202175,0.2833395888748694,311,451,207,136,112,111,1.9491150401019723,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
64,1,0.4940315663039279,0.6618216597457302,0.8240444456042865,241,0.8310010527150942,287,1.0679487304112034,320,0,1.2295329523542091,1.1987636582013093,-0.25334108671265937,215,380,23,158,161,288,1.4023824734597348,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
65,1,-0.13194755600739827,-0.22841450926748966,-0.27180312692123154,74,-0.5160029331231574,164,-0.424249926411064,562,0,1.3351284686248879,-0.09095088673591983,-0.5690356017641469,337,20,369,159,229,460,0.6635278762974532,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
66,1,0.3598931829515009,-0.20519945682273097,-0.35741118985567727,460,-0.09506418754870374,359,-0.3174413774216942,253,0,1.4025936326956394,-0.47270639203733966,1.9565205186477532,91,124,62,173,216,643,1.5936101317687603,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
67,1,-0.8473522672203425,-0.24405412354606393,1.7895489147897647,385,6.387392494297881,168,4.4745271453949815,599,0,2.04631427070791,1.0554620420971728,-0.5058966987538493,419,542,131,99,104,328,-0.25171562395561964,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,1,-0.08723476155658924,-0.26238179652876814,-0.29948092170454854,307,-0.09506418754870374,343,-0.24981908179530746,485,0,1.5913523940247933,-0.39847615489539695,1.8618121641323069,119,89,171,33,65,77,0.3534373995869346,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69,1,0.13632921069745582,-0.2648254862597954,-0.27984899749777714,156,0.9993765509448755,183,0.445278669071969,390,0,1.8926852053685026,-0.23425250284005641,-0.5690356017641469,393,545,246,5,170,7,0.22812624948625165,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
72,1,0.4046059774023099,0.6618216597457302,0.8240444456042865,483,0.8310010527150942,287,1.5329325155755007,320,0,2.324714334014101,2.201874970930265,-0.0007854746714693929,215,328,227,99,161,164,1.4558514923805985,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73,1,0.762308333008782,-0.24869713403501567,3.076888207037069,301,1.2519397982895477,67,2.733934209986119,565,0,1.5767169037767144,1.9152717387219922,1.104145328008737,361,173,358,91,96,563,0.5071896694510596,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
74,1,-0.8026394727695335,-0.27386713826459613,-0.19102258633271316,495,-0.010876438433813031,21,-0.10793611133818537,567,0,1.6286388423084965,-0.23425250284005641,2.240645582194092,346,366,188,91,61,393,1.7440874061544762,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
75,1,0.672882744107164,-0.2672691759908226,-0.17879286305636377,276,-0.09506418754870374,121,-0.16505589658157285,374,0,1.44220660088998,-0.23425250284005641,0.8515897159675468,271,377,317,136,168,377,1.5728298255551496,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
76,1,0.583457155205546,-0.3041688909293338,-0.14725305039630482,92,0.578437805370422,195,0.1620081295908852,298,0,1.6039365703205428,-0.377554118944193,0.5358952009160594,62,79,309,86,123,607,-0.41945825754515664,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
77,1,0.9411595108120181,-0.2926835491935058,0.18037479948063417,108,0.6626255544853127,310,0.9161577312908745,240,0,1.44220660088998,1.0554620420971728,1.1672842310190343,27,88,227,84,251,541,1.5863714995811071,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
78,1,-0.9814906505727695,-0.30807879449897735,-0.39474402933084907,284,-0.6001906822380481,180,-0.6473291917631662,415,0,1.6156395624972928,-0.48861287142489884,-0.5690356017641469,286,586,392,82,259,45,1.957159435575154,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79,1,0.672882744107164,-0.1536376034980564,-0.26890661351367506,107,-0.7685661804678294,188,-0.6266214118570639,617,0,1.7422146054449488,-0.4294293039738904,0.5990341039263568,46,108,42,136,39,519,-0.24103320048313304,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
80,1,-0.5790755005154884,-0.3063682116872583,-0.28242367608227176,140,-0.8732957403667535,84,-0.7298135303843633,2,0,1.3489904801807218,-0.41782187306945534,0.7253119099469518,116,315,353,84,201,605,1.383462863554504,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81,1,-0.6237882949662974,-0.29952588044038203,-0.1952064390325169,481,-0.8548586233105925,137,-0.6560977971301043,304,0,1.4795445976884347,-0.3874419304553784,0.693742458441803,332,471,73,84,201,572,0.786121391852402,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
83,1,0.22575479959907385,-0.12602390953744874,-0.2911132163049411,489,-0.8620145819853582,356,-0.7164376916890339,342,0,1.2237516249287568,-0.4044948227717707,1.5461176490808195,354,440,100,80,153,413,0.365181322015642,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
84,1,-0.7579266783187244,-0.2533401445239674,-0.21902221593909202,29,0.578437805370422,123,0.13664357621307568,137,0,1.6156395624972928,-0.3842892949010874,0.47275629790576185,108,580,40,104,92,129,0.9530356003337888,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
85,1,-0.2660859393598253,-0.295127238924533,-0.40182439543820925,335,-0.8823880172711617,256,-0.7889644615037081,96,0,2.9592026575546577,-0.48015807607475475,-0.5690356017641469,222,243,257,126,66,113,0.9777949053344971,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
86,1,0.27046759404988285,-0.17611954902350693,0.5022096225424603,563,0.2416868089108591,45,0.7303821938557461,174,0,1.44220660088998,1.4853668904095825,2.461631742730133,174,244,227,186,17,662,1.795595465189836,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87,1,2.4166817276887156,5.0604631755947445,1.4677140917279388,41,-0.010876438433813031,232,0.6833190577055135,404,0,1.3489904801807218,1.0554620420971728,10.448702973532766,78,314,71,79,102,409,1.4538918993986811,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
88,1,1.4777130442217263,5.0604631755947445,6.938906083778982,541,1.5045030456342199,211,3.141847750050345,333,0,1.5143431665663205,3.348287899763358,4.955618411636884,78,90,71,79,257,368,2.2583094899287097,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
89,1,-0.40022432271225233,-0.22841450926748966,0.8240444456042865,563,0.9993765509448755,270,1.3689051010561113,329,0,-0.7989464174964538,1.4853668904095825,-0.12706328069206438,337,340,299,23,82,333,-0.0013642344528351567,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
90,1,-0.40022432271225233,-0.22841450926748966,0.8240444456042865,563,0.9993765509448755,270,1.3689051010561113,329,0,-0.7989464174964538,1.4853668904095825,-0.12706328069206438,337,340,299,23,82,333,-0.0013642344528351567,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
91,1,-0.40022432271225233,-0.22841450926748966,0.8240444456042865,563,0.9993765509448755,270,1.3689051010561113,329,0,-0.7989464174964538,1.4853668904095825,-0.12706328069206438,337,340,299,23,82,333,-0.0013642344528351567,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
92,1,2.2825433443362884,4.816094202492021,-0.16752864424919986,238,-0.010876438433813031,44,-0.21608224419708813,346,0,1.440723984895567,-0.377554118944193,0.15706178285427436,94,169,61,9,39,345,0.3887790083675937,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
93,1,0.762308333008782,-0.09450031200719747,-0.14146002358119195,368,1.9254417912086734,158,1.649104151651601,490,0,1.4476720812914787,1.3420652743054458,1.1357147795138858,272,36,147,84,123,371,0.3705039342708001,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
94,1,0.9858723052628271,-0.1915147943289785,4.042392676222548,426,1.9254417912086734,158,3.155223588745674,335,0,1.194421535654988,2.631779819242675,0.6306035554315056,131,457,304,91,117,657,1.3367651444753774,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
95,1,-0.2660859393598253,-0.2604268447439464,-0.3442159621101424,411,0.07331131068107768,257,-0.21335753631470625,548,0,1.311750374704375,-0.46095565951680045,-0.22177163520751064,218,356,178,184,23,610,-0.13630836180211162,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
96,1,-0.7579266783187244,-0.25480635836258375,-0.2373668008536161,378,6.387392494297881,168,3.703682515397489,24,0,1.7953255552303284,-0.23425250284005641,-0.5690356017641469,433,384,293,114,126,342,-0.2058965648904933,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
97,1,-0.08723476155658924,-0.3075900565527719,3.076888207037069,14,2.4305682858980178,178,3.12653984576569,36,0,1.313172628812198,3.0616846675550846,0.3780479433903156,172,366,395,45,241,40,0.05486286017531786,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
99,1,0.3598931829515009,-0.31565423266516174,-0.25474588129895476,87,-0.6843784313529387,98,-0.6038824860750042,563,0,1.1343306210453155,-0.4182517779177678,2.240645582194092,120,73,385,158,229,162,0.5349735052315612,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100,1,0.4940315663039279,-0.25944936885153547,0.18037479948063417,184,1.0835643000597663,136,1.0491730160944264,421,0,1.1031226906899947,0.9121604259930362,2.0196594216580506,7,350,92,121,139,259,0.572143992642024,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
101,1,-0.08723476155658924,-0.2789988866997533,-0.44430659208237033,493,-0.8922379839176039,49,-0.8387523055363225,382,0,1.4130467706353478,-0.5091050025277903,-0.22177163520751064,275,88,13,47,47,651,0.6444896239570486,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
102,0,3.087373644450851,-0.31565423266516174,-0.2409069839072962,228,-0.6843784313529387,157,-0.6090346609798717,408,0,1.6925246020901672,-0.3831428819722543,-0.5690356017641469,276,468,280,79,125,655,1.1351317959221108,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
103,1,1.29886186641849,-0.31565423266516174,-0.2763088144440971,370,-0.8812093887835533,361,-0.7610238206734647,366,0,1.507249160146094,-0.4350180670019517,-0.3164799897229569,276,494,156,172,170,633,1.9679367605257823,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
107,1,-0.5790755005154884,-0.18564993897451315,-0.1482185548654903,103,-0.09506418754870374,359,0.1926734783035104,186,0,1.440723984895567,0.7688588098888995,-0.5690356017641469,313,570,2,104,248,258,1.5814022007281212,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
108,1,-0.4896499116138704,-0.1915147943289785,-0.2837110153745191,21,-0.09506418754870374,359,-0.22881406102930893,667,0,1.507249160146094,-0.377554118944193,-0.22177163520751064,131,384,2,91,9,562,1.4524909575145786,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
