,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,cast_total_facebook_likes,actor_3_name,budget_x,actor_2_facebook_likes,movie_facebook_likes,before_premiere_trends,director,writer,producer,composer,cinematographer,main_actor_4,worldwide,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western,mpaa_G,mpaa_NC-17,mpaa_PG,mpaa_PG-13,mpaa_R
22,2.3149029908386978,-0.26259072619471485,-0.13445406639905938,1067,-0.44440798577416696,450,-0.4739249049135011,1092,2.841574030917222,-0.3217128956906365,0.12052730703230334,2.38924729989069,682,111,713,252,229,856,0.7230737631555236,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
23,0.16439689759654688,-0.2237554359034376,-0.02922580877428613,367,0.33391342883600333,132,0.39968964949900954,720,2.675492892922099,0.574365464439826,-0.512893361390567,0.18134941322089093,131,158,83,17,186,115,1.0656644579371188,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,1.8647970643461544,-0.2342921425716136,3.9871199020949213,912,0.5914822337238749,567,2.103702852842595,219,3.249695746103589,2.8504535226062995,2.1698294695768836,0.0651442612909015,47,166,452,159,459,1111,3.92507949232129,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
28,1.0646087505816333,-0.10243278483843979,-0.17903550378970756,39,0.2308859068808547,425,0.5074362820607673,1156,2.8512578588085535,1.2747002515679717,1.1265483686450972,0.23945198918588564,636,567,725,370,452,1030,0.5806275833963156,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
29,0.7145263633096552,-0.15270792808373665,-0.02922580877428613,537,-0.33576546387246275,92,-0.25558408012648015,940,1.5633623635357965,-0.12596932268831976,5.076112536458288,1.6920163883107533,150,905,630,277,232,665,6.16626960973132,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
32,1.2646558290227636,-0.26259072619471485,1.175677904486476,441,0.7460235166565978,276,1.207140317612423,715,3.3654598893434553,1.4497839483500083,-0.512893361390567,0.6461700209408485,728,1008,63,92,50,521,3.353408884006474,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
33,4.265362005639719,0.03845803575317058,0.7740433333995553,514,0.5914822337238749,567,0.6643451946953985,342,2.60313362665788,0.2241980708757531,3.026810373913708,10.29119763112997,749,291,452,54,235,337,4.491955593939073,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
34,-0.085661950454866,3.6510431791277953,3.9871199020949213,24,1.5702436922977867,351,2.738499278417288,72,2.841574030917222,3.9009557032985183,0.3813475822652499,0.9366829007658221,802,677,377,92,104,86,3.9589950543919454,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,-0.085661950454866,3.6510431791277953,3.9871199020949213,24,1.5702436922977867,351,2.738499278417288,72,2.841574030917222,3.9009557032985183,0.3813475822652499,-0.34157377046406145,802,677,377,92,104,86,3.9589950543919454,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,2.0148323731770024,-0.26259072619471485,-0.24450193887687566,576,-0.4442534444912342,244,-0.4750136777260179,994,2.9244154548516472,-0.37441308842202947,-0.512893361390567,1.750118964275748,548,303,307,370,45,1212,3.170007369357515,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
38,2.765008917331241,-0.26259072619471485,-0.10633964642297491,950,-0.4401323436130283,70,-0.4427692521245591,691,2.7084081515356564,-0.30875670212876577,1.5736688404730057,-0.22536861853407203,548,303,307,370,19,1134,3.915399038599697,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
39,1.0145969809713506,-0.26259072619471485,3.9871199020949213,737,1.776298736208084,648,2.4656360612496186,525,2.881112824675663,2.150118735478154,1.7227089977489751,0.0070416853259068,728,796,377,92,346,900,1.3751545943218806,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,1.0145969809713506,-0.26259072619471485,3.9871199020949213,737,1.776298736208084,648,2.4656360612496186,525,2.881112824675663,2.150118735478154,1.7227089977489751,-0.34157377046406145,728,796,377,92,346,900,1.3751545943218806,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,0.7645381329199378,-0.15300897684568454,-0.02922580877428613,786,0.12785838492570606,308,0.4601584164710959,524,2.2498495742427536,1.2747002515679717,0.6049078181792041,1.1109906286608062,452,302,734,384,87,167,1.0835093936064655,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
42,0.7645381329199378,-0.15300897684568454,-0.02922580877428613,786,0.12785838492570606,308,0.4601165405936914,524,2.2498495742427536,1.2747002515679717,0.6049078181792041,1.1109906286608062,452,302,734,384,87,167,1.0835093936064655,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
43,-0.18568548967543116,-0.11597997912609463,-0.11919195269775638,1000,-0.43879298582761134,339,-0.42208256868674005,358,2.7604364952321827,-0.31523479890970113,-0.14029296820064324,0.4718622930458644,410,544,215,277,415,384,1.765246487539098,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44,0.6645145936993726,-0.18492014561216039,-0.2999275096868707,993,0.33391342883600333,587,0.1296321161174411,1157,2.7604364952321827,-0.4117059158366032,0.3813475822652499,0.12324683725589622,534,383,291,172,135,829,0.23414122381803523,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
45,-0.3357207985062789,-0.22495963095122914,-0.14128185410753702,511,0.282399667858429,656,0.18943086905105558,343,2.841574030917222,-0.3010530194703562,0.6049078181792041,2.795965331645653,501,544,173,327,212,924,4.149815781269617,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0.4144557456479598,-0.151804781797893,-0.03404542362732918,159,0.6945097556790235,126,0.5404763493329114,254,2.9244154548516472,0.04911437409371667,-0.512893361390567,2.6797601797156636,544,525,216,92,414,914,0.9873631423260391,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
47,1.5147146770741764,-0.26259072619471485,5.192023615355684,808,0.8490510386117465,302,2.704705445351863,1235,2.274460508544249,3.5507883097344455,2.989550334594716,3.5512988191905843,343,151,814,54,283,546,5.522484172507216,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
48,0.6645145936993726,-0.1436764652253001,-0.02922580877428613,134,0.3854271898135776,535,0.7466731696726296,882,2.417814161312691,1.4497839483500083,4.293651710759449,1.9244266921707323,516,738,307,254,45,516,1.5768765798017021,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
49,1.9648206035667197,-0.26259072619471485,7.601831041877207,816,1.261161126432341,317,3.2191087233886417,486,2.526900350022249,3.375704612952409,2.5424298627668076,-0.34157377046406145,102,996,744,203,329,526,2.4006505617332246,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
50,1.114620520191916,3.9520919410756807,-0.05814349789254442,156,0.48845471176872624,62,0.28683415989390376,927,2.417814161312691,-0.30437960970921485,2.915030255956731,0.0651442612909015,328,933,312,277,93,117,1.2630681212867405,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
51,0.21440866720682947,-0.26259072619471485,-0.37463153990903797,370,-0.4398747748081404,199,-0.5358174517173402,992,2.510473893985285,-0.3786150971447983,0.3068275036272652,-0.34157377046406145,102,224,183,203,329,133,0.09808930799204418,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
54,0.3144322064273946,-0.20870299780604334,-0.3360746210846936,854,0.282399667858429,286,0.06648329299146727,1000,2.841574030917222,-0.37686426017697794,0.34408754294625754,-0.34157377046406145,579,85,356,155,233,35,0.7906427710754421,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
55,1.0646087505816333,-0.26259072619471485,-0.06175820903232671,221,0.33391342883600333,109,0.19282281512081942,728,2.417814161312691,-0.30665569776738133,2.5796899020858,0.23945198918588564,305,1086,297,325,181,203,1.0195887934672683,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
56,2.2148794516181325,-0.26259072619471485,-0.19751069405970592,621,-0.4442534444912342,244,-0.5011861011038253,700,2.6638441908452304,-0.3309923316200844,1.201068447283082,-0.051060890639087905,548,303,307,370,19,655,4.304808163300927,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
57,0.6145028240890901,3.9520919410756807,-0.02922580877428613,844,0.07634462394813175,255,0.016650998880121868,587,2.7005776315186005,-0.3010530194703562,-0.3265931647956051,0.29755456515088036,783,250,261,209,201,682,3.0336550102200333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58,-0.8358384946091046,-0.24573199552563324,-0.0942906092903673,511,-0.3872792248500371,383,-0.4001814848041908,666,2.397151040926702,-0.3010530194703562,0.9402481720501353,0.18134941322089093,520,98,434,311,478,673,1.6213454734579364,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59,0.6145028240890901,-0.057576519308204864,-0.3886887498970802,711,-0.4388960133495665,619,-0.5542009618979121,773,2.1179283752527214,-0.45530175633533027,0.6049078181792041,-0.22536861853407203,464,997,312,277,423,1259,0.6381774808389818,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
60,-0.5857796465576918,-0.11959256426946926,-0.22120713375383425,382,-0.43879298582761134,348,-0.4851895159353094,558,2.597771325795236,-0.34850070129828803,0.08326726771331097,-0.34157377046406145,34,52,368,385,99,423,1.7427151589817802,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
61,-0.9358620338296698,-0.13615024617660296,-0.3613775990631696,253,-0.47650105886319577,666,-0.5626598891336194,930,1.8357709877736546,-0.42921428551480684,-0.512893361390567,0.9947854767308167,92,487,702,232,198,476,0.5071212006545085,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
62,2.414926530059263,-0.02897688692315575,-0.30635366282426146,623,-0.43879298582761134,521,-0.5199883700584422,1197,2.9244154548516472,-0.3941975461583996,-0.02851285024366613,2.156836996030711,712,939,466,151,126,54,2.9583582454285726,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
63,-0.6858031857782569,-0.26259072619471485,3.585485331008001,224,0.4369409507911519,573,1.4370388845630835,432,2.9244154548516472,1.9750350386961175,-0.512893361390567,-0.34157377046406145,701,136,316,9,391,1148,0.7711112567377066,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64,0.864561672140503,-0.26259072619471485,4.790389044268763,737,0.3854271898135776,108,1.3723825298505479,362,2.0255761577912903,2.150118735478154,1.1265483686450972,-0.28347119449906677,494,676,290,277,235,1106,0.006133807225921553,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
65,0.014361588765699148,-0.17769497532541115,-0.389492019039254,39,0.07634462394813175,130,0.2769514528264437,183,2.0308693467257317,1.2747002515679717,0.5676477788602118,-0.34157377046406145,206,5,178,346,186,232,0.6918692612886806,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
66,0.014361588765699148,-0.17769497532541115,-0.389492019039254,39,0.07634462394813175,130,0.2769514528264437,183,2.0308693467257317,1.2747002515679717,0.5676477788602118,-0.34157377046406145,206,5,178,346,186,232,0.6918692612886806,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
67,2.0148323731770024,-0.238506825238884,-0.39792634503207935,591,-0.43879298582761134,330,-0.554619720671957,1108,2.8358667611159216,-0.44287081386380567,-0.512893361390567,-0.34157377046406145,26,58,532,155,139,1129,3.044619098786679,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
68,1.7147617555153067,-0.26259072619471485,-0.02922580877428613,719,1.261161126432341,317,1.470790841751104,1216,1.9960457353149357,1.7999513419140811,1.499148761835021,-0.22536861853407203,102,996,744,203,329,932,1.4518104589151037,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
69,2.114855912397567,6.360482036658764,3.9871199020949213,409,0.6945097556790235,126,1.8107392145207695,892,2.7005776315186005,1.7999513419140811,0.8657280934121506,5.178170946210436,140,582,150,172,469,872,4.060686159626274,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70,-0.6858031857782569,-0.26259072619471485,-0.3256321222364336,288,-0.43879298582761134,348,-0.49942731425283665,575,2.420956562964454,-0.32766574138122573,0.493127700222227,1.6339138123457586,632,849,410,277,205,234,2.6949168637808056,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71,-0.7858267249988221,-0.25927918981328807,-0.24651011173231024,835,-0.43879298582761134,35,-0.5017723633874882,1132,2.420956562964454,-0.3057802792834712,-0.512893361390567,-0.22536861853407203,685,744,493,159,478,1115,1.035043105810515,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72,0.8145499025302204,0.9416043215968268,1.175677904486476,464,0.5914822337238749,567,1.0339416886674442,624,1.7753208800083164,1.6248676451320447,-0.14029296820064324,7.6184791367402145,430,708,63,325,300,558,2.0497238527067494,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
73,0.11438512798626431,-0.15511631817931973,-0.19188781006448904,140,-0.23273794191731412,328,-0.2274016146332571,1067,1.8781271857316812,0.04911437409371667,-0.512893361390567,-0.28347119449906677,684,30,735,326,420,894,1.1778097792704,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
74,0.6645145936993726,-0.1265166857942706,-0.29872260597360994,872,0.02483086297055744,681,-0.1371172229491725,490,1.9438103181987418,-0.41730859413362836,2.467909784128823,0.4137597170808698,180,231,132,371,400,1228,2.2753894853114436,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
75,-0.6858031857782569,-0.1743834389439844,2.3805816177472385,752,3.9913904582437794,334,3.913494522509927,1140,2.5705276547785436,1.4497839483500083,-0.4383732827525822,0.35565714111587504,825,1029,269,199,190,636,0.09774112933091314,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
76,0.16439689759654688,-0.1969620960900758,-0.2264283831779642,600,0.02483086297055744,655,-0.079956650292041,925,2.1275831866927524,-0.3266152392005335,2.3561296661718454,0.0651442612909015,230,167,336,72,135,157,0.8118754675836503,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
77,0.4144557456479598,-0.19997258370955467,-0.20192867434166206,292,0.6945097556790235,356,0.5076037855703852,746,2.420956562964454,-0.12596932268831976,-0.512893361390567,-0.34157377046406145,768,1036,498,9,321,16,0.6639971746924908,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
78,-0.7358149553885395,-0.26259072619471485,-0.2766327045638293,741,-0.43879298582761134,35,-0.48648766813484867,975,2.007798704166079,-0.3418475208205707,3.883791278250533,0.18134941322089093,632,849,410,277,478,904,2.798055700466425,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
81,0.7145263633096552,0.9416043215968268,1.175677904486476,912,0.5914822337238749,567,1.4269886739860054,624,2.841574030917222,2.8504535226062995,0.1577873463512957,8.43191520025014,430,608,452,199,300,337,2.1128220500102857,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
82,1.114620520191916,-0.18010336542099423,3.9871199020949213,594,0.8490510386117465,123,2.442185569903103,1073,2.1133342797505454,2.5002861290422267,1.4618887225160286,1.750118964275748,721,330,719,172,180,1085,0.9933168050450543,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
83,-0.6357914161679744,-0.21111138790162642,-0.09107753272167193,932,0.07634462394813175,39,0.03997586259442387,1076,2.163884746995434,-0.12596932268831976,2.803250137999754,0.6461700209408485,700,677,377,172,126,758,2.45296603314024,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
84,1.0145969809713506,-0.2029830713290335,-0.07581541902036894,537,0.02483086297055744,237,-0.00830702405295532,716,1.9823769454820261,-0.12596932268831976,1.1638084079640896,0.5299648690108592,540,702,645,277,315,724,2.2508668771106315,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
85,0.9145734417507856,-0.2484414343831642,-0.036455231053850706,174,0.4369409507911519,380,0.2681575185715004,593,2.1398349632949074,-0.3010530194703562,0.7912080147741659,-0.10916346660408262,109,151,626,163,229,1164,-0.1002100841711832,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
86,1.314667598633046,-0.2342921425716136,0.3724087623126346,200,0.48845471176872624,598,0.905634000300081,465,1.9823769454820261,1.4497839483500083,1.5364088011540133,-0.34157377046406145,47,166,452,159,459,1043,2.2668472564666837,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
87,-0.8358384946091046,-0.2532582145743304,-0.34531221621969277,560,-0.28425170289488844,353,-0.41596869058568425,806,2.151228831463676,-0.4367428844764344,-0.512893361390567,0.0651442612909015,577,1127,782,155,476,92,2.7044099640682178,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
88,1.0145969809713506,-0.0629953970232668,-0.18827309892470676,197,-0.3872792248500371,363,-0.3984645738306066,1174,2.274460508544249,-0.36443331770545334,0.8657280934121506,-0.28347119449906677,85,198,98,277,87,1007,0.11034733665437861,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
89,-0.3857325681165615,-0.2511508732406952,-0.2051417509103574,257,-0.4513623435061395,154,-0.4856920264641633,6,1.8916230447253224,-0.35025153826610844,1.0147682506881202,-0.22536861853407203,226,587,711,159,379,1162,2.027397034060352,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
90,-0.43574433772684407,-0.2427215079061544,-0.0962987821458019,907,-0.4400808298520507,279,-0.4233807208862793,600,2.018728692691826,-0.3131337945483167,0.9775082113691278,-0.34157377046406145,670,892,152,159,379,1099,1.3224810245875052,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
91,-0.48575610733712665,-0.26259072619471485,-0.32362394938099903,324,0.282399667858429,656,0.07129901889298383,970,2.5834346646653183,-0.34902595238863415,-0.14029296820064324,-0.28347119449906677,701,157,274,9,136,763,0.8769371134540301,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0.5144792848685249,-0.02897688692315575,-0.21598588432970428,926,-0.4444594995351445,676,-0.4743855395649505,655,1.7696922611447623,-0.33396875446537905,1.9835292729819216,0.0651442612909015,712,820,207,151,288,806,0.8257343371772928,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
93,-0.5857796465576918,-0.18582329189800406,-0.12601974040623404,58,0.4369409507911519,242,0.24671706934040052,262,2.151228831463676,-0.3092819532191119,0.7166879361361812,0.29755456515088036,209,1117,95,205,175,265,1.5194546152066397,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
